timestamp_ms,raw_x_ut,raw_y_ut,raw_z_ut,cal_x_ut,cal_y_ut,cal_z_ut
8193,-18.2800,-23.8770,-38.5437,-6.9282,-0.4294,-15.9534
8203,-18.2617,-23.7427,-38.5620,-6.9161,-0.3216,-15.9660
8213,-18.2922,-23.9136,-38.6536,-6.9359,-0.4603,-16.0400
8223,-18.3472,-23.8647,-38.4949,-6.9812,-0.4177,-15.9141
8233,-18.2983,-23.9075,-38.2385,-6.9453,-0.4492,-15.7141
8243,-18.3533,-23.7854,-38.2568,-6.9899,-0.3501,-15.7261
8253,-18.3105,-23.8098,-38.2202,-6.9566,-0.3700,-15.6981
8263,-18.2190,-23.8281,-38.7512,-6.8794,-0.3941,-16.1162
8273,-18.2922,-23.8403,-38.3545,-6.9404,-0.3969,-15.8042
8283,-18.1946,-23.9014,-38.3362,-6.8636,-0.4475,-15.7918
8293,-18.3350,-23.7671,-38.3423,-6.9750,-0.3369,-15.7931
8303,-18.3594,-23.9014,-38.2446,-6.9928,-0.4433,-15.7181
8313,-18.3350,-23.7732,-38.5071,-6.9732,-0.3442,-15.9225
8323,-18.3167,-23.8281,-38.5620,-6.9574,-0.3896,-15.9666
8333,-18.2068,-23.8586,-38.4583,-6.8725,-0.4146,-15.8868
8343,-18.3350,-23.7000,-38.3667,-6.9759,-0.2831,-15.8113
8353,-18.2800,-23.7671,-38.3728,-6.9320,-0.3383,-15.8176
8363,-18.3228,-23.7488,-38.1775,-6.9676,-0.3199,-15.6636
8373,-18.3838,-23.7915,-38.4644,-7.0113,-0.3575,-15.8887
8383,-18.2861,-23.8281,-38.4827,-6.9345,-0.3890,-15.9047
8393,-18.2373,-23.7915,-38.3728,-6.8983,-0.3587,-15.8184
8403,-18.2739,-23.8525,-38.6414,-6.9229,-0.4112,-16.0297
8413,-18.3350,-23.9380,-38.3057,-6.9725,-0.4742,-15.7668
8423,-18.2251,-23.9014,-38.4338,-6.8863,-0.4484,-15.8681
8433,-18.2800,-23.8464,-38.1287,-6.9333,-0.3987,-15.6271
8443,-18.3899,-23.9258,-38.6230,-7.0120,-0.4680,-16.0152
8453,-18.3472,-23.8770,-38.4521,-6.9815,-0.4269,-15.8808
8463,-18.3655,-23.8220,-38.4888,-6.9963,-0.3828,-15.9085
8473,-18.3411,-23.8220,-38.2568,-6.9798,-0.3798,-15.7267
8483,-18.3350,-23.8586,-38.4399,-6.9724,-0.4121,-15.8711
8493,-18.3716,-23.9136,-38.2935,-7.0016,-0.4537,-15.7565
8503,-18.3289,-23.9014,-38.5437,-6.9658,-0.4482,-15.9532
8513,-18.3105,-23.8770,-38.4033,-6.9535,-0.4268,-15.8429
8523,-18.3472,-23.8647,-38.5925,-6.9802,-0.4191,-15.9908
8533,-18.4143,-23.8831,-38.5376,-7.0327,-0.4319,-15.9472
8543,-18.3228,-23.7793,-38.4521,-6.9641,-0.3485,-15.8796
8553,-18.3533,-23.8586,-38.4399,-6.9867,-0.4118,-15.8709
8563,-18.2983,-23.8953,-38.4277,-6.9434,-0.4421,-15.8624
8573,-18.2617,-23.8342,-38.5071,-6.9151,-0.3947,-15.9242
8583,-18.3472,-24.0112,-38.4338,-6.9794,-0.5349,-15.8684
8593,-18.2617,-23.8037,-38.3118,-6.9178,-0.3672,-15.7704
8603,-18.3655,-23.7122,-38.4460,-6.9986,-0.2936,-15.8734
8613,-18.3167,-23.8647,-38.4216,-6.9583,-0.4171,-15.8570
8623,-18.2434,-23.8647,-38.3423,-6.9021,-0.4172,-15.7955
8633,-18.2922,-23.7366,-38.5376,-6.9402,-0.3158,-15.9464
8643,-18.3533,-23.8708,-38.4277,-6.9866,-0.4215,-15.8615
8653,-18.2556,-23.7610,-38.3301,-6.9135,-0.3331,-15.7843
8663,-18.2922,-23.6938,-38.5315,-6.9410,-0.2813,-15.9410
8673,-18.4021,-23.9380,-38.5620,-7.0220,-0.4768,-15.9673
8683,-18.2678,-23.9197,-38.4888,-6.9186,-0.4632,-15.9110
8750,-18.2983,-23.8708,-38.6475,-6.9415,-0.4256,-16.0345
8760,-18.2434,-23.9197,-38.6169,-6.8982,-0.4655,-16.0119
8770,-18.3350,-23.8464,-38.5681,-6.9712,-0.4042,-15.9715
8780,-18.2251,-23.7549,-38.5742,-6.8873,-0.3323,-15.9761
8790,-18.2617,-23.7549,-38.2629,-6.9191,-0.3271,-15.7314
8800,-18.3289,-23.8281,-38.6719,-6.9657,-0.3910,-16.0527
8810,-18.3533,-23.9319,-38.4094,-6.9857,-0.4705,-15.8480
8820,-18.3167,-23.8342,-38.3179,-6.9599,-0.3910,-15.7751
8830,-18.1763,-23.6694,-38.2446,-6.8543,-0.2594,-15.7167
8840,-18.3716,-23.8159,-38.2751,-7.0034,-0.3746,-15.7407
8850,-18.2861,-23.7000,-38.5193,-6.9363,-0.2861,-15.9316
8860,-18.3044,-24.0356,-38.4155,-6.9459,-0.5551,-15.8548
8870,-18.2983,-23.7427,-38.3728,-6.9466,-0.3182,-15.8171
8880,-18.3289,-23.8953,-38.3789,-6.9677,-0.4409,-15.8238
8890,-18.2251,-23.7915,-38.4521,-6.8880,-0.3600,-15.8809
8900,-18.3289,-23.9868,-38.4155,-6.9657,-0.5153,-15.8538
8910,-18.4021,-23.9258,-38.3240,-7.0248,-0.4635,-15.7803
8920,-18.2373,-23.9258,-38.4949,-6.8947,-0.4688,-15.9162
8930,-18.2068,-23.8281,-38.4827,-6.8728,-0.3903,-15.9055
8940,-18.4021,-23.8892,-38.4949,-7.0235,-0.4364,-15.9139
8950,-18.2251,-23.7793,-38.3728,-6.8890,-0.3490,-15.8184
8960,-18.2556,-23.7976,-38.5681,-6.9103,-0.3661,-15.9716
8970,-18.3350,-23.7732,-38.4766,-6.9735,-0.3438,-15.8986
8980,-18.2190,-23.7549,-38.6230,-6.8820,-0.3331,-16.0145
8990,-18.3594,-23.7122,-38.5559,-6.9927,-0.2953,-15.9597
9000,-18.2617,-23.8159,-38.4521,-6.9160,-0.3791,-15.8808
9010,-18.3655,-23.6938,-38.2812,-7.0007,-0.2764,-15.7438
9020,-18.3167,-23.8159,-38.1226,-6.9623,-0.3734,-15.6215
9030,-18.2800,-23.8342,-38.5071,-6.9294,-0.3944,-15.9240
9040,-18.2922,-23.9441,-38.6169,-6.9358,-0.4844,-16.0117
9050,-18.2861,-23.8708,-38.4888,-6.9337,-0.4235,-15.9101
9060,-18.3228,-23.8342,-38.4399,-6.9633,-0.3927,-15.8708
9070,-18.3350,-23.7793,-38.5132,-6.9730,-0.3492,-15.9274
9080,-18.3716,-23.8525,-38.2141,-7.0035,-0.4033,-15.6933
9090,-18.2190,-23.9258,-38.6047,-6.8793,-0.4707,-16.0027
9100,-18.3350,-23.9868,-38.5254,-6.9693,-0.5168,-15.9400
9110,-18.2739,-23.9563,-38.6597,-6.9209,-0.4952,-16.0456
9120,-18.3472,-23.8525,-38.6230,-6.9800,-0.4097,-16.0146
9130,-18.2739,-23.8159,-38.3545,-6.9266,-0.3775,-15.8040
9140,-18.1580,-23.8037,-38.3240,-6.8369,-0.3692,-15.7811
9150,-18.3838,-23.8159,-38.7329,-7.0080,-0.3811,-16.0999
9160,-18.1641,-23.9624,-38.4827,-6.8372,-0.4994,-15.9080
9170,-18.3350,-23.8281,-38.5925,-6.9713,-0.3898,-15.9904
9180,-18.3899,-23.8708,-38.3789,-7.0156,-0.4202,-15.8227
9190,-18.1702,-23.8098,-38.0981,-6.8487,-0.3706,-15.6038
9200,-18.2800,-23.8342,-38.5193,-6.9292,-0.3945,-15.9336
9210,-18.2861,-23.7488,-38.5071,-6.9356,-0.3253,-15.9227
9220,-18.3655,-23.7671,-38.6108,-6.9959,-0.3403,-16.0035
9230,-18.2373,-23.9136,-38.4033,-6.8959,-0.4576,-15.8442
9240,-18.2922,-23.7549,-38.5010,-6.9403,-0.3301,-15.9179
9250,-18.3167,-23.6633,-38.2263,-6.9638,-0.2518,-15.7007
9260,-18.2739,-23.8159,-38.1042,-6.9293,-0.3738,-15.6076
9270,-18.2678,-23.7976,-38.4583,-6.9210,-0.3643,-15.8853
9280,-18.3411,-23.9380,-38.3850,-6.9764,-0.4752,-15.8290
9290,-18.2495,-23.8403,-38.4033,-6.9066,-0.3983,-15.8430
9300,-18.2617,-23.9990,-38.4827,-6.9126,-0.5272,-15.9074
9310,-18.2617,-23.7061,-38.2446,-6.9202,-0.2875,-15.7163
9320,-18.2251,-23.8647,-38.1348,-6.8901,-0.4145,-15.6328
9330,-18.3167,-23.7976,-38.4277,-6.9593,-0.3630,-15.8608
9340,-18.2922,-23.9014,-38.6414,-6.9363,-0.4503,-16.0303
9350,-18.3350,-23.7976,-38.1775,-6.9763,-0.3591,-15.6642
9360,-18.3350,-23.7366,-38.2202,-6.9769,-0.3105,-15.6968
9370,-18.2373,-23.9563,-38.4705,-6.8944,-0.4930,-15.8975
9380,-18.2556,-23.6694,-38.3545,-6.9148,-0.2596,-15.8021
9390,-18.2861,-23.7732,-38.4399,-6.9359,-0.3441,-15.8703
9400,-18.3044,-23.8098,-38.4277,-6.9496,-0.3731,-15.8611
