timestamp_us,pressure,temperature
227683925,9203256,9252760
227699925,9204952,9251480
227715925,9204120,9251832
227731925,9204376,9252408
227747925,9204632,9251320
227763925,9204920,9252344
227779925,9204568,9251768
227795925,9204696,9252760
227811925,9204920,9252984
227827925,9204152,9253144
227843925,9203384,9252728
227859925,9205528,9252152
227875925,9204600,9252568
227891925,9204408,9252856
227907925,9204184,9253208
227923925,9204792,9251768
227939925,9204216,9251640
227955925,9204184,9251864
227971925,9204760,9254072
227987925,9204664,9252408
228003925,9204792,9251960
228019925,9204312,9253176
228035925,9204536,9252440
228051925,9204632,9252760
228067925,9204312,9251928
228083925,9204184,9253080
228099925,9205496,9252888
228115925,9204920,9252184
228131925,9204536,9252536
228147925,9204824,9251800
228163925,9204184,9252152
228179925,9204568,9253080
228195925,9205496,9252248
228211925,9204280,9252920
228227925,9205272,9252824
228243925,9204248,9252152
228259925,9203768,9253144
228275925,9203864,9251992
228291925,9204792,9252856
228307925,9205272,9253208
228323925,9204952,9252440
228339925,9204024,9251704
228355925,9203928,9252504
228371925,9205144,9253272
228387925,9204184,9253240
228403925,9203832,9252760
228419925,9203768,9253048
228435925,9204856,9252216
228451925,9204152,9252792
228467925,9204792,9253400
228483925,9203960,9253112
228499925,9204088,9253240
228515925,9204472,9253816
228531925,9203832,9252376
228547925,9205432,9253624
228563925,9203864,9252376
228579925,9204920,9251128
228595925,9204088,9251992
228611925,9203416,9253592
228627925,9204888,9253176
228643925,9204184,9253208
228659925,9203128,9253016
228675925,9204888,9253336
228691925,9204536,9253336
228707925,9204760,9253048
228723925,9203928,9252696
228739925,9204536,9252920
228755925,9204888,9253080
228771925,9203384,9252152
228787925,9205304,9253080
228803925,9204056,9253112
228819925,9204280,9252536
228835925,9204824,9253272
228851925,9204344,9252760
228867925,9203768,9254168
228883925,9204600,9252568
228899925,9204600,9252920
228915925,9205048,9253784
228931925,9204216,9253080
228947925,9204856,9252600
228963925,9204504,9252472
229113925,9205624,9250200
229129925,9205688,9250744
229145925,9204920,9249528
229161925,9204792,9251352
229177925,9204376,9249656
