timestamp_ms,mag_x_ut,mag_y_ut,mag_z_ut
10056,13.0981,-22.7417,24.0234
10066,12.8906,-22.5586,24.1150
10076,12.6648,-22.3816,24.2493
10086,12.4939,-22.3999,24.3469
10096,12.2314,-22.1863,24.4507
10161,10.5347,-21.0571,25.4333
10171,10.3760,-20.6055,25.5554
10181,10.0098,-20.1233,25.6348
10191,9.6069,-19.6350,25.7874
10201,9.2651,-19.1101,25.7324
10211,8.8684,-18.9087,26.0071
10221,8.4167,-18.4082,26.0986
10231,8.0078,-17.8223,26.3123
10241,7.6355,-17.1753,26.2268
10251,7.2571,-16.4429,26.4099
10261,6.6895,-15.5273,26.4160
10271,6.5125,-14.8987,26.6541
10281,5.7495,-14.1846,26.7456
10291,5.5115,-13.6230,26.8005
10301,4.9438,-13.0920,26.5686
10311,4.3701,-13.4827,27.1484
10321,3.8208,-13.2446,27.2644
10331,3.3997,-13.2690,27.3132
10341,2.9846,-13.0066,27.2034
10351,2.5635,-12.7808,27.3987
10361,2.3499,-12.3535,27.4719
10371,2.0447,-11.9995,27.5146
10381,1.7090,-11.6638,27.3926
10391,1.4832,-11.5662,27.4109
10401,1.1902,-11.1328,27.4597
10411,0.9827,-10.9253,27.5208
10421,0.5554,-10.7178,27.5452
10431,0.1404,-10.4492,27.6672
10441,-0.5005,-10.0525,27.6245
10451,-0.8667,-9.5337,27.4231
10461,-1.3489,-9.1187,27.5757
10471,-1.8005,-8.2886,27.4536
10481,-2.2644,-7.7942,27.0508
10491,-2.7161,-7.4280,27.3254
10501,-2.9907,-7.0251,27.3071
10511,-3.2654,-6.7932,27.4170
10521,-3.8513,-6.5002,27.2034
10531,-4.1199,-6.3538,27.1912
10541,-4.5898,-6.1218,27.3560
10551,-5.0232,-5.9692,27.1118
10561,-5.3894,-5.7739,27.0447
10571,-5.9204,-5.6580,27.1301
10581,-6.4209,-5.6213,27.0508
10591,-7.0862,-5.4504,27.0935
10601,-7.3669,-5.1697,27.1973
10611,-7.9102,-4.6082,26.5015
10621,-8.3984,-4.2297,26.7151
10631,-9.3445,-3.5034,26.8372
10641,-9.9670,-3.4790,26.5991
10651,-10.3943,-3.1555,26.6968
10661,-11.0107,-3.1128,26.4648
10671,-11.3770,-2.8442,26.5442
10681,-11.8164,-2.6855,26.2878
10691,-11.8713,-2.4963,26.2024
10701,-12.0544,-2.4597,26.0437
10711,-12.2559,-2.2278,25.9888
10721,-12.5183,-1.4465,25.7812
10731,-13.1042,-1.3306,25.5981
10741,-13.3667,-0.6592,25.4822
10751,-13.7512,0.0366,24.8718
10761,-14.0259,0.5310,24.7803
10771,-14.6118,0.7629,24.4629
10781,-14.9719,1.1658,24.1577
10791,-15.2649,1.6602,23.9258
10801,-15.7959,2.1790,23.6633
10811,-16.0583,2.7527,23.3093
10821,-16.3940,3.5645,22.8088
10831,-16.7053,4.1260,22.2351
10841,-17.1021,4.4983,22.0947
10851,-17.2974,4.6082,21.8567
10861,-17.5415,4.8889,21.8079
10871,-18.1152,5.0293,21.7163
10881,-18.4143,4.9805,21.5149
10891,-18.7378,4.9561,21.4783
10901,-19.2749,4.9683,21.4478
10911,-19.6777,5.1514,21.3196
10921,-19.9280,5.1941,21.1365
10931,-20.5383,5.2063,20.9106
10941,-20.7642,5.2368,20.9351
10951,-21.1121,4.8889,21.1182
10961,-21.6064,4.6204,21.2891
10971,-22.2290,4.2419,21.2891
10981,-22.9065,3.7170,21.0876
10991,-23.6206,3.4241,21.3257
11001,-24.1821,3.3386,21.5759
11011,-24.6643,3.3325,20.8069
11021,-25.2014,3.3447,20.8679
11031,-25.6836,3.1555,20.7031
11041,-26.0986,3.2349,20.6299
11051,-26.7334,3.1006,20.2820
11061,-27.2095,2.8870,20.1172
11071,-27.6794,2.6978,20.1721
11081,-28.1616,2.5574,20.0684
11091,-28.4668,2.4170,20.0439
11101,-29.3884,2.3193,19.4458
11111,-30.0110,2.2095,19.2871
11121,-30.6580,2.0569,19.3237
11131,-31.2744,1.7822,19.1895
11197,-35.0098,0.1831,17.5537
11207,-35.6201,0.0671,17.3523
11217,-36.1633,-0.0793,16.8945
11227,-36.8469,-0.1526,16.3879
11237,-37.4268,-0.4272,16.2109
11247,-37.9456,-0.6775,15.7593
11257,-38.6292,-0.9155,15.6250
11267,-39.3433,-1.1658,15.1306
11277,-40.0635,-1.3489,14.3433
11287,-40.8142,-1.8311,13.9099
11297,-42.0105,-2.6123,13.3301
11307,-42.5903,-2.8564,13.0432
11317,-42.9077,-2.9358,12.5488
11327,-43.2922,-3.1799,12.3474
11337,-43.4998,-3.4363,12.3291
11347,-43.9087,-3.4912,12.0239
11357,-44.3359,-3.7170,11.3708
11367,-44.6350,-4.1077,11.2122
11377,-45.1660,-4.4617,10.8398
